Date,SPY_QQQ,SPY_GLD,SPY_TLT,SPY_USO,QQQ_GLD,QQQ_TLT,QQQ_USO,GLD_TLT,GLD_USO,TLT_USO
2016-11-09,0.9303380105348446,0.07430287570230977,0.013022431141792202,0.41353944122784964,-0.0015658589022515966,0.09298392049762934,0.31805005376944107,0.357037723131044,0.0733945208322455,-0.16014887094274102
2016-11-10,0.8828145883175161,0.0600880281888295,-0.0009550208566912048,0.4011945727271417,0.060945065977428506,0.13795227929615517,0.34016572537175116,0.38697466062672237,0.1030239111557474,-0.13441746395071033
2016-11-11,0.8821104802729259,0.06688663178220713,-0.0010742039467009682,0.40176762790851667,0.05366897698477417,0.13702830317461961,0.33892454514556514,0.37922761222693174,0.13341310211033902,-0.1368704350096268
2016-11-14,0.8682399316790071,0.062092245186944235,-0.0032803213845290853,0.403145410406066,0.07068096060343237,0.14460079314773103,0.32099232849218395,0.3802295970929567,0.12876669310362984,-0.13935140234962776
2016-11-15,0.8700472725884648,0.08415966988754575,0.012733014561975389,0.431744586091943,0.1037534036356731,0.1635866859771506,0.37380307567638155,0.395392077657154,0.17196227238593095,-0.07295013033950871
2016-11-16,0.8620993595166494,0.0842443100781888,0.004739517735260019,0.4315613312866827,0.10044141218308936,0.1752545540901942,0.36493748666177406,0.38514633978784363,0.17198820017446112,-0.08556625747049305
2016-11-17,0.8620494630576911,0.06431788348097936,-0.013387175270218658,0.4163319189829157,0.07865885574234616,0.15044861773272117,0.34683617939757605,0.3928895800055832,0.15581411331157052,-0.07515000781099677
2016-11-18,0.8623165858416184,0.06922472502599655,-0.01332325042878762,0.4100407362933134,0.0854325430065299,0.15018660368429793,0.3396841537517154,0.39159611612705797,0.13911835845823703,-0.07414641359616746
2016-11-21,0.8666153733758505,0.07964521173187748,-0.0059170147445320705,0.4279716217737517,0.09705228324920923,0.16013820114104016,0.3646928651982697,0.39567358058262597,0.15532945432940706,-0.05334982285970176
2016-11-22,0.8686573038908683,0.07584189265191037,-0.025631805265199484,0.4309022106756718,0.09695709925217755,0.16169998459914403,0.3615123794528069,0.39456159922987144,0.15684423858452332,-0.04439119299571478
2016-11-23,0.8662314924037153,0.06731691356867572,-0.02659195067644257,0.4297514500362614,0.10564394729040698,0.1618889068222155,0.3566991530622394,0.38553911480391334,0.1367842913337128,-0.0465359028259838
2016-11-25,0.8669217217191707,0.06305172647589564,-0.019483223679342854,0.4063774922887648,0.10255841621035389,0.16557135899092312,0.3445460334795939,0.3815071876516615,0.14781120435725226,-0.045927320715275714
2016-11-28,0.8669058891555902,0.04514528297255276,-0.032602975550098744,0.40340689087439024,0.09074782493089122,0.15633970185710777,0.35310827051023586,0.39527950463735934,0.1751892260970265,-0.027711171847752455
2016-11-29,0.8669436514808201,0.030304616554812213,-0.022602987830258534,0.3815382738900819,0.08160372805026453,0.16508412115416113,0.3305378872540749,0.4136379317149863,0.1653227833328637,-0.03882249687810253
2016-11-30,0.859800404154615,0.024532395723032483,-0.01936691477582689,0.317357811164228,0.08902533286640131,0.18730636964068634,0.202597525619427,0.41563606532645225,0.04991881523302602,-0.1388065285622847
2016-12-01,0.8476001440884238,0.023875954123063023,-0.01050970515128437,0.2988105573498125,0.08444186846528676,0.21017285804649694,0.145218884321797,0.4124089639396736,0.05153322703990654,-0.1595142675905067
